member,group_id,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
132931712,10022202,18,17,3,1.584962500721156,1.584962500721156,1.0,9.88888888888889,4.5,5.777777777777778,0.7115773693894168,2.0597777226183394,0.7388448899104043
93266562,10022202,15,7,8,0.7219280948873623,2.75,2.0,10.466666666666667,5.666666666666667,5.066666666666666,0.857343262025611,1.9508546006993395,0.7142830345110749
193529220,10022202,8,1,8,1.5219280948873621,3.0,2.0,13.125,8.75,6.125,1.2262686162980205,2.3211203525894204,0.9883613244510647
196629389,10022202,8,1,9,0.0,2.94770277922009,0.0,13.0,9.25,5.25,0.7893170574043473,1.9427866018088458,0.646240625180289
160192142,10022202,15,11,2,0.0,1.0,0.0,10.466666666666667,5.6,5.8,0.7914284703228864,2.027288822697563,0.8199472012258187
27720462,10022202,18,30,8,1.0,2.75,0.0,9.88888888888889,3.7777777777777777,5.5,0.7440752860961477,1.9950534171028482,0.79440044546596
194241679,10022202,8,1,4,1.0,2.0,0.0,13.125,8.75,6.625,1.2915096281589409,2.4461203525894204,1.2383613244510647
191752353,10022202,11,2,4,0.0,2.0,0.0,11.636363636363637,7.7272727272727275,6.0,0.84422405037474,2.032902153507111,0.9070254475909014
179824802,10022202,6,4,1,0.0,0.0,0.0,13.833333333333334,11.333333333333334,5.833333333333333,0.9261484326014197,2.20114843260142,0.9678924870096007
3578018,10022202,13,7,5,2.0,1.9219280948873623,1.584962500721156,11.538461538461538,6.384615384615385,6.230769230769231,0.78025808844082,2.2534751710145526,0.7620685073545014
1297060,10022202,12,5,9,2.584962500721156,2.725480556997868,2.321928094887362,11.416666666666666,6.666666666666667,5.0,0.7289262103791975,2.013784196550405,0.6320802083934297
196198438,10022202,8,2,13,0.8112781244591328,3.7004397181410926,1.584962500721156,13.0,9.125,4.75,0.6879072918469558,1.8486944844437203,0.4481203125901445
192551470,10022202,7,1,5,0.0,2.321928094887362,0.0,13.142857142857142,10.285714285714286,5.0,0.8416932994756677,1.8300632939598604,0.760275442126766
191730352,10022202,7,1,4,0.0,2.0,0.0,13.142857142857142,10.285714285714286,5.142857142857143,0.8416932994756677,1.8760530218009122,0.760275442126766
192406449,10022202,7,1,1,0.0,0.0,0.0,13.142857142857142,10.285714285714286,5.571428571428571,0.8416932994756677,2.161767307515198,0.760275442126766
13727170,10022202,8,3,1,0.0,0.0,0.0,13.0,9.0,6.25,0.7893170574043473,2.311249449211357,0.646240625180289
192640090,10022202,6,1,10,2.25,3.121928094887362,2.8073549220576046,13.833333333333334,11.833333333333334,4.333333333333333,0.5511484326014197,1.680827083453526,0.5
193435488,10022202,8,1,6,0.0,2.251629167387823,0.0,13.125,8.75,6.375,1.4165096281589409,2.414666706665943,1.2383613244510647
194329708,10022202,13,2,6,0.9182958340544896,2.584962500721156,1.0,11.538461538461538,6.769230769230769,6.153846153846154,0.8634661012058592,2.202472524411953,0.8070656227945903
