member,group_id,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
1708291,143531,20,9,3,1.584962500721156,1.584962500721156,1.0,8.3,3.6,7.6,1.0874537594640157,2.1054266294511685,1.4397426723098827
2540804,143531,5,1,2,0.0,1.0,0.0,6.2,5.0,14.0,1.1588842636827446,2.523223557631547,1.5886964527434995
2591876,143531,7,1,7,1.5,2.8073549220576046,1.584962500721156,10.714285714285714,4.0,5.571428571428571,1.1475851670737025,2.0184803540335965,1.360234376620474
2660741,143531,7,1,2,0.0,1.0,0.0,10.714285714285714,4.0,6.285714285714286,1.361870881359417,2.27667391432754,1.5866575910092107
2670859,143531,7,3,11,1.061278124459133,3.2776134368191165,2.5216406363433186,10.714285714285714,3.7142857142857144,5.0,1.210259720722398,1.9513005662105236,1.2264232143887366
2381333,143531,2,2,1,0.0,0.0,0.0,9.0,8.0,17.5,1.9627461618700537,3.8617409343229445,2.760964047443681
2601621,143531,10,7,3,0.9182958340544896,1.584962500721156,1.0,10.6,4.6,7.0,1.2230643702130226,2.066364880371093,1.4906890595608517
64030,143531,2,1,3,0.0,1.584962500721156,1.0,6.0,5.0,9.0,0.8647869792568113,2.76082031817166,1.553445297804259
6688,143531,7,3,27,1.4911148500551858,4.430632409490749,3.321928094887362,12.142857142857142,6.142857142857143,6.857142857142857,1.1917673143614287,1.8126071870190257,1.3973371019320944
2093089,143531,7,1,1,0.0,0.0,0.0,10.714285714285714,4.0,6.428571428571429,1.361870881359417,2.4195310571846833,1.5866575910092107
1778342,143531,7,2,7,1.9219280948873623,2.8073549220576046,2.0,10.714285714285714,3.857142857142857,5.571428571428571,1.0873097249469363,2.0184803540335965,1.300943305294925
2857135,143531,6,3,10,1.9219280948873623,3.321928094887362,2.0,13.666666666666666,7.166666666666667,8.166666666666666,1.6070081567626995,2.2255209912115905,1.8869880158145602
2542398,143531,5,5,10,1.3787834934861758,3.121928094887362,2.2516291673878226,6.2,4.2,12.4,0.8831275649855094,2.098837938654074,1.138370619265935
2664771,143531,7,2,6,1.584962500721156,2.2516291673878226,1.0,12.142857142857142,4.714285714285714,5.0,0.9478360644129398,1.781887544264905,1.2724129422297883
2260036,143531,7,4,1,0.0,0.0,0.0,12.142857142857142,6.0,10.571428571428571,1.4047837215121695,2.445554674089132,1.8718982583445745
90315,143531,7,4,20,1.6258145836939115,4.1219280948873624,3.459431618637298,12.142857142857142,6.0,7.857142857142857,1.172524495270182,1.8567078033909379,1.377693741396389
2756941,143531,7,1,5,0.0,2.321928094887362,1.584962500721156,12.142857142857142,4.857142857142857,5.142857142857143,1.1742592788016764,1.7718448403363993,1.1888468706981945
655832,143531,6,8,43,2.4973419908730574,4.972549056927052,4.169925001442313,5.333333333333333,3.5,7.5,0.9698345704046712,2.044761455205114,1.157247043952916
66265,143531,2,3,16,2.5219280948873624,3.625,3.169925001442312,8.0,8.5,28.5,1.7078189124637735,4.247094846635186,2.8459265481648375
2905178,143531,10,8,1,0.0,0.0,0.0,10.6,5.5,10.8,1.5680906469212657,2.6227614546535016,2.010328780841202
2575459,143531,5,1,1,0.0,0.0,0.0,6.2,5.0,14.2,1.1588842636827446,2.7232235576315467,1.5886964527434995
2810981,143531,14,3,10,2.2516291673878226,2.5219280948873624,2.321928094887362,9.285714285714286,4.785714285714286,8.071428571428571,1.0724457001818566,2.0913745509944883,1.4547373010175586
2748903,143531,7,3,1,0.0,0.0,0.0,12.142857142857142,4.571428571428571,5.714285714285714,1.1742592788016764,2.103548853891737,1.415270085086931
2099817,143531,7,1,2,0.0,1.0,0.0,12.142857142857142,4.857142857142857,5.571428571428571,1.1742592788016764,1.9606917110345938,1.415270085086931
1880426,143531,10,9,14,0.9182958340544896,3.52164063634332,1.5219280948873621,4.2,3.1,10.3,1.1216528193391349,2.150628088483814,1.6176441670993604
2238317,143531,8,7,21,3.007196489685618,4.201841232302569,4.0,11.5,6.25,6.625,1.1843845474790538,1.999356680774707,1.3554820237218406
2430574,143531,7,3,4,1.584962500721156,2.0,1.0,10.714285714285714,3.7142857142857144,6.0,1.1354476669706803,2.1338167714703973,1.4438004481520679
2458351,143531,20,9,11,1.8799649487271108,3.459431618637298,3.0,8.3,3.6,7.2,1.0727036370637177,2.011703173555361,1.3397426723098824
2546551,143531,5,2,2,1.0,1.0,0.0,6.2,4.8,14.0,0.9588842636827446,2.523223557631547,1.5886964527434995
2335352,143531,2,1,4,0.8112781244591328,2.0,1.584962500721156,6.0,5.0,8.5,0.4591479170272448,2.553301568532238,1.260964047443681
2850425,143531,7,6,2,1.0,1.0,0.0,12.142857142857142,5.714285714285714,10.428571428571429,1.2619265786550267,2.3026975312319893,1.8718982583445745
