member,group_id,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
6433792,1657880,8,64,5,0.9182958340544896,2.321928094887362,1.0,9.375,97.625,8.125,1.3098180757163242,2.3460395587120426,1.417481250360578
9677316,1657880,8,58,10,0.7219280948873623,3.321928094887362,2.0,9.375,98.375,7.5,1.334364043112215,2.2210395587120426,1.292481250360578
12983431,1657880,8,77,14,2.128085278891395,3.6644977792004623,2.584962500721156,9.375,96.0,7.0,1.1585943951117113,2.178218348172905,1.2193609377704335
60260882,1657880,10,28,1,0.0,0.0,0.0,7.9,83.8,8.1,1.2918768534672447,2.584513206674717,1.4339850002884624
12160532,1657880,14,411,16,2.5216406363433186,3.875,2.584962500721156,7.214285714285714,53.57142857142857,6.285714285714286,1.2828687360116373,2.024137213388065,1.1951548161188132
41054502,1657880,8,55,1,0.0,0.0,0.0,9.375,98.75,8.625,1.4246050549731355,2.636280570572963,1.542481250360578
36878512,1657880,4,97,9,1.5,2.6416041678685933,1.584962500721156,10.25,168.75,8.25,2.0266507842661188,2.5836079046593246,1.5980793556946902
76673072,1657880,4,47,7,2.0,2.5216406363433186,1.584962500721156,8.5,141.75,8.0,1.7766507842661188,2.2086079046593246,1.5980793556946902
12025279,1657880,2,56,2,1.0,1.0,0.0,8.0,68.0,10.0,2.260964047443681,3.314678310039805,2.4036774610288023
9117636,1657880,8,26,4,1.0,2.0,0.0,9.375,102.375,8.25,1.2996050549731355,2.386280570572963,1.542481250360578
6032452,1657880,11,115,4,1.584962500721156,2.0,1.0,8.363636363636363,88.72727272727273,8.0,1.3919889035512663,2.3810254864626903,1.4301970386966714
558790,1657880,3,25,13,2.75,3.334679141051595,2.8073549220576046,6.0,82.66666666666667,10.333333333333334,2.2069076785275867,3.241717291693515,2.53823661470507
44569432,1657880,4,3,9,1.5219280948873621,3.169925001442312,2.0,6.5,58.75,4.25,1.0,1.5110985298396136,0.7018387305144012
9392601,1657880,4,7,1,0.0,0.0,0.0,8.5,151.75,9.5,2.2766507842661188,2.8390180637451543,1.9943199808749792
3502053,1657880,3,81,11,2.321928094887362,3.0957952550009344,2.0,6.0,64.0,11.0,2.349598313565133,3.3213452537104016,2.807354922057604
3413609,1657880,12,133,11,3.0,3.459431618637298,2.8073549220576046,5.0,75.66666666666667,7.25,1.5903513973546461,2.275714100262422,1.4474664455232231
4249065,1657880,4,16,2,1.0,1.0,0.0,10.25,189.0,10.0,2.1516507842661188,2.9940089466264728,1.9943199808749792
11643886,1657880,8,11,15,2.5219280948873624,3.906890595608518,3.169925001442312,9.375,104.25,6.875,1.1093640431122154,2.1479192461218983,1.146240625180289
5987568,1657880,3,34,9,1.2987949406953985,3.169925001442312,2.8073549220576046,6.0,79.66666666666667,11.666666666666666,2.6906426982957874,3.2966353382299425,2.53823661470507
7952634,1657880,2,18,3,0.0,1.584962500721156,0.0,7.0,15.5,5.0,0.7609640474436811,1.584962500721156,1.0
907003,1657880,4,16,4,1.584962500721156,1.5,1.0,8.5,149.5,8.75,1.8804101590858298,2.4640180637451543,1.7443199808749792
