member,group_id,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
35807232,518057,81,168,3,1.0,0.9182958340544896,0.0,137.3827160493827,107.32098765432099,14.666666666666666,1.781008143490853,2.6524009573695246,1.9079437712533822
7360513,518057,117,17,6,2.0,2.584962500721156,1.584962500721156,124.07692307692308,96.54700854700855,12.905982905982906,1.6512505605164005,2.520499049956988,1.7168008988238164
6534668,518057,159,19,18,2.5220552088742005,4.058813890331201,3.459431618637298,117.54716981132076,84.39622641509433,11.471698113207546,1.5234054393693877,2.335838423258303,1.5593799615872503
13147148,518057,159,21,1,0.0,0.0,0.0,117.54716981132076,84.38364779874213,11.578616352201259,1.5392674218151376,2.3613655546440335,1.581137393151007
52277262,518057,19,1,1,0.0,0.0,0.0,100.3157894736842,178.3684210526316,16.789473684210527,2.065194118776782,2.8110158534199763,2.2277836553636137
31353872,518057,86,38,2,1.0,1.0,0.0,136.90697674418604,108.97674418604652,11.534883720930232,1.4306932676041904,2.226244157966409,1.475678741959893
7985168,518057,78,31,1,0.0,0.0,0.0,134.15384615384616,122.91025641025641,12.73076923076923,1.6400065040421579,2.3696909850546732,1.6517753079954143
8469011,518057,37,4,2,0.0,0.0,0.0,142.21621621621622,178.1081081081081,11.35135135135135,1.6918043945193293,2.2189270401687065,1.5813488037679124
10112021,518057,81,11,5,0.0,1.9219280948873623,0.0,137.3827160493827,109.25925925925925,14.641975308641975,1.7933538225031986,2.6400104356308476,1.9079437712533822
6645271,518057,78,45,2,0.0,0.0,0.0,134.15384615384616,122.73076923076923,12.717948717948717,1.6400065040421579,2.3696909850546732,1.6517753079954143
10909208,518057,95,73,7,2.8073549220576046,2.8073549220576046,2.584962500721156,129.65263157894736,110.13684210526316,13.115789473684211,1.5995647278638845,2.4429709725679043,1.6750358733920534
9123865,518057,81,3,37,2.9638561897747238,5.026888838543454,4.501629167387823,137.3827160493827,109.35802469135803,14.246913580246913,1.7567630053454861,2.6016775869437354,1.8523681025201995
5677084,518057,113,383,3,1.584962500721156,1.584962500721156,1.0,126.76991150442478,95.35398230088495,10.867256637168142,1.3756559858299675,2.137099889136062,1.380314666624266
6735900,518057,81,59,31,3.734521664779752,4.607264455478377,4.0,137.3827160493827,108.66666666666667,14.320987654320987,1.7472486167651773,2.60685813488281,1.8585610552039995
6887968,518057,184,771,2,0.0,1.0,0.0,106.32608695652173,74.64673913043478,10.527173913043478,1.4125832963182399,2.196574593826311,1.4164154746330424
8616996,518057,88,255,2,0.0,1.0,0.0,128.7159090909091,113.44318181818181,12.511363636363637,1.6258577869468127,2.329831288839472,1.6432551309687078
9158693,518057,31,42,58,3.882048827786958,4.720049960644815,4.954196310386877,154.38709677419354,206.0,15.612903225806452,1.8206591124238178,2.5372817779502377,1.8549213200442312
40884262,518057,37,2,3,1.0,1.584962500721156,0.0,142.21621621621622,178.16216216216216,11.324324324324325,1.6647773674923023,2.176090215824891,1.5813488037679124
12895785,518057,86,30,19,2.2544475789720946,4.247927513443588,4.0,136.90697674418604,109.06976744186046,11.337209302325581,1.4161066678487009,2.188477558972879,1.4291671140529163
44343342,518057,129,11,9,1.9219280948873623,2.94770277922009,2.0,116.43410852713178,95.70542635658914,12.930232558139535,1.6714520092487233,2.5149313808369,1.7381581186013388
46854702,518057,86,1,1,0.0,0.0,0.0,136.90697674418604,109.40697674418605,11.546511627906977,1.4423211745809346,2.2378720649431534,1.475678741959893
17408571,518057,86,8,6,1.584962500721156,2.2516291673878226,1.0,136.90697674418604,109.32558139534883,11.488372093023257,1.423891378060921,2.211690330438644,1.4640508349831487
53194812,518057,47,56,4,0.0,0.8112781244591328,0.0,135.53191489361703,161.31914893617022,12.27659574468085,1.5677717312891244,2.122795676961438,1.5062268762934068
12108349,518057,78,22,2,0.0,0.0,0.0,134.15384615384616,123.02564102564102,12.717948717948717,1.6400065040421579,2.3696909850546732,1.6517753079954143
45531712,518057,147,60,4,1.584962500721156,1.5,1.0,117.10204081632654,88.82312925170068,11.761904761904763,1.5499931608716235,2.3034696305098366,1.5800613358240598
6263362,518057,86,10,16,2.113283334294875,3.702819531114783,3.0,136.90697674418604,109.30232558139535,11.372093023255815,1.4177481125542502,2.1948160238836794,1.4407950210296605
4512839,518057,68,232,1,0.0,0.0,0.0,134.7941176470588,118.77941176470588,12.441176470588236,1.5830223990486283,2.4483630432173706,1.5947218710716604
13779016,518057,68,4,8,2.251629167387823,3.0,2.321928094887362,134.7941176470588,122.13235294117646,12.338235294117647,1.549910205410572,2.4042453961585473,1.560575869676258
17904711,518057,86,3,1,0.0,0.0,0.0,136.90697674418604,109.38372093023256,11.546511627906977,1.4423211745809346,2.2378720649431534,1.475678741959893
48457802,518057,130,10,1,0.0,0.0,0.0,124.46153846153847,93.92307692307692,10.953846153846154,1.43131871529218,2.2053134898846416,1.4460823732494472
7413835,518057,133,40,25,2.251629167387823,4.4838561897747224,3.459431618637298,126.34586466165413,92.7593984962406,12.097744360902256,1.5682986885167778,2.3782768548176976,1.6194664586942324
41251402,518057,100,19,4,2.0,2.0,1.584962500721156,125.85,100.48,13.15,1.6776137524296015,2.4699668443329874,1.7398949487824056
53196872,518057,81,23,10,2.584962500721156,3.121928094887362,2.321928094887362,137.3827160493827,109.11111111111111,14.580246913580247,1.7614407052103447,2.6251956208160325,1.8792779923041556
45021262,518057,81,3,2,1.0,1.0,0.0,137.3827160493827,109.35802469135803,14.679012345679013,1.781008143490853,2.65139226396279,1.9079437712533822
10885201,518057,207,233,4,2.0,2.0,1.584962500721156,105.11111111111111,73.72463768115942,10.671497584541063,1.4317711254096783,2.2369065653857123,1.4599825878463402
38901332,518057,68,3,48,1.836591668108979,5.376629167387827,3.0,134.7941176470588,122.1470588235294,11.75,1.5560136980470256,2.3692949672263732,1.5506042240128368
11718743,518057,50,166,20,2.5216406363433186,4.1219280948873624,2.584962500721156,120.08,157.38,10.56,1.5577563094155082,2.1099868131734767,1.5329873432075658
10119258,518057,81,1,35,2.854096964759388,5.01499730265925,4.789015477886192,137.3827160493827,109.38271604938272,14.271604938271604,1.7581180575061692,2.601824396028725,1.8488201233782442
46484572,518057,129,11,17,2.6416041678685933,3.969815782426811,3.0,124.14728682170542,93.45736434108527,12.2015503875969,1.5906695009101421,2.3659721099031477,1.6361866624593542
11885660,518057,19,106,4,1.0,1.5,0.0,100.3157894736842,172.8421052631579,16.63157894736842,2.012562539829414,2.7320684849989236,2.2277836553636137
