member,group_id,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
133129,1760803,59,134,10,2.0,3.121928094887362,1.584962500721156,47.25423728813559,64.11864406779661,6.559322033898305,1.0451774176285398,1.8030076077329422,0.847767540550823
22141451,1760803,27,59,11,2.5216406363433186,3.2776134368191165,2.584962500721156,51.370370370370374,108.77777777777777,8.25925925925926,1.5386171813942744,2.303191413516394,1.2615542134771882
92227602,1760803,14,17,2,1.0,1.0,0.0,57.214285714285715,97.0,8.857142857142858,1.3650015722503066,2.0648460926164023,1.174805357451924
139978262,1760803,18,8,1,0.0,0.0,0.0,49.666666666666664,105.0,9.055555555555555,1.417666162319344,2.087664377609627,1.4802783594230777
183423520,1760803,12,1,1,0.0,0.0,0.0,56.0,149.33333333333334,7.333333333333333,1.3117811081391417,2.0877272641826856,1.3064766368034175
178585122,1760803,58,38,2,1.0,1.0,0.0,49.6551724137931,72.32758620689656,6.258620689655173,1.0757370568694375,1.8845980880832627,0.8445995908187905
163835942,1760803,12,1,2,0.0,1.0,0.0,56.0,149.33333333333334,7.25,1.3117811081391417,2.004393930849352,1.3064766368034175
23434791,1760803,100,638,1,0.0,0.0,0.0,36.54,49.51,7.13,1.1798839847393507,1.9630217512036472,0.9891195175559695
53377062,1760803,19,28,28,2.9282129458410013,4.450212064914746,4.247927513443588,55.78947368421053,105.26315789473684,7.842105263157895,1.349316250199827,2.222340943809543,1.154250786944699
2751533,1760803,27,146,10,1.5219280948873621,2.8464393446710154,2.0,51.370370370370374,105.55555555555556,8.296296296296296,1.575643571818569,2.3191608243366937,1.2832194912816755
4542005,1760803,72,53,5,2.321928094887362,2.321928094887362,2.0,43.875,63.263888888888886,6.708333333333333,1.1130571663546593,1.9673128315605486,0.9297649487714759
83614272,1760803,27,17,2,1.0,1.0,0.0,51.370370370370374,110.33333333333333,8.592592592592593,1.5949742419995825,2.3875474667319168,1.3572935653557494
75761732,1760803,27,25,29,3.3487989122024975,4.694019357121935,4.459431618637295,51.370370370370374,110.03703703703704,7.592592592592593,1.5079816896957863,2.25073193498666,1.1921294313321458
142643782,1760803,26,60,13,2.8464393446710154,3.5465935642949384,3.169925001442312,50.46153846153846,80.26923076923077,9.692307692307692,1.2546463441287519,2.1748000336154423,1.0624289405427978
171588682,1760803,46,13,1,0.0,0.0,0.0,54.369565217391305,76.34782608695652,4.782608695652174,0.8484383903654246,1.5869321132088106,0.5896627140965683
8309835,1760803,19,24,3,1.0,1.584962500721156,0.0,55.78947368421053,105.47368421052632,9.157894736842104,1.4508011420861953,2.3731435524513103,1.3778259192312035
83997772,1760803,19,103,3,1.0,1.584962500721156,0.0,46.578947368421055,99.42105263157895,9.631578947368421,1.2913054317415382,2.057092688115431,1.2096706404931166
4654677,1760803,41,147,5,1.584962500721156,2.321928094887362,1.0,45.73170731707317,83.17073170731707,8.487804878048781,1.511085423372034,2.1995440498295995,1.3776727271259273
74238042,1760803,38,71,8,1.584962500721156,2.75,1.0,47.39473684210526,85.97368421052632,8.789473684210526,1.426977251642412,2.275719635309915,1.2307983235393922
159611482,1760803,75,129,2,0.0,1.0,0.0,41.306666666666665,59.333333333333336,6.946666666666666,1.1681298864392833,1.903155102624218,1.0181037684254872
183788122,1760803,12,2,3,0.0,1.584962500721156,0.0,56.0,149.25,7.166666666666667,1.3117811081391417,1.955647055789256,1.3064766368034175
183049821,1760803,72,49,6,2.0,2.584962500721156,1.584962500721156,44.44444444444444,63.06944444444444,7.055555555555555,1.1032832405043158,1.9711680274248873,0.9077515807059042
183648351,1760803,30,2,6,1.5,2.584962500721156,1.584962500721156,43.93333333333333,81.96666666666667,9.066666666666666,1.2262711047789587,2.082107938476151,1.0246209890510896
14468705,1760803,43,56,12,2.0,3.584962500721156,1.584962500721156,56.604651162790695,73.81395348837209,4.604651162790698,0.7971666501583612,1.5212538303926544,0.5286550564107764
182535777,1760803,19,57,6,1.584962500721156,2.584962500721156,1.0,55.78947368421053,103.73684210526316,9.0,1.4200136420482399,2.320511973503942,1.3251943402838349
64542832,1760803,18,4,3,1.584962500721156,1.584962500721156,1.0,49.666666666666664,105.22222222222223,8.944444444444445,1.3296126900570577,1.9996109053473405,1.4247228038675221
183776380,1760803,43,5,2,1.0,1.0,0.0,56.604651162790695,75.0,4.837209302325581,0.8204224641118496,1.5813692373861696,0.5655146494508032
148128892,1760803,43,26,2,0.0,1.0,0.0,56.604651162790695,74.51162790697674,4.837209302325581,0.8436782780653379,1.5813692373861696,0.5655146494508032
182755966,1760803,43,1,10,0.0,3.121928094887362,0.0,56.604651162790695,75.09302325581395,4.651162790697675,0.8436782780653379,1.532022072388789,0.5655146494508032
110923902,1760803,12,7,5,0.9182958340544896,2.321928094887362,1.0,56.0,148.83333333333334,7.0,1.2352564553012677,1.8942332562754054,1.2231433034700843
183993477,1760803,81,6,1,0.0,0.0,0.0,40.0,57.95061728395062,6.654320987654321,1.0667887395155793,1.8364037876718435,0.8628081814460682
10297990,1760803,11,181,8,2.75,3.0,2.8073549220576046,64.18181818181819,141.0909090909091,3.4545454545454546,0.8713602273382869,1.2918317209440149,0.5231715911057698
180691592,1760803,51,5,1,0.0,0.0,0.0,51.76470588235294,68.25490196078431,5.803921568627451,0.9603013849023896,1.7738891617951402,0.7356576954564213
45170312,1760803,18,20,16,2.845350936622437,4.0,3.321928094887362,49.666666666666664,104.33333333333333,8.222222222222221,1.2595911102847641,1.8654421553874048,1.2957267985960021
8428688,1760803,30,14,52,3.5936576653909618,4.959491160199155,4.9375,45.93333333333333,86.5,6.666666666666667,1.2290849127696812,1.9357874683474836,0.9518672391232049
25778342,1760803,18,100,28,3.085055102756477,4.034087620114631,3.584962500721156,49.666666666666664,99.88888888888889,7.555555555555555,1.2462742121662065,1.8635483987143695,1.2811137760496802
97001142,1760803,36,53,18,1.5,3.5249449750847117,1.584962500721156,48.55555555555556,94.05555555555556,8.5,1.5719267790214406,2.2379680401682918,1.314980937965797
