member,group_id,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
14736011,1485406,10,72,8,2.2516291673878226,3.0,2.584962500721156,19.6,246.4,15.4,1.5954720541909873,2.7612449968757575,1.975488750216347
12787596,1485406,28,132,3,1.0,1.584962500721156,1.0,19.0,127.82142857142857,7.75,1.3047743232008304,2.0831763968278483,1.5482153002466128
3133453,1485406,14,5,17,2.94770277922009,3.8077635764171953,3.169925001442312,22.285714285714285,191.42857142857142,5.785714285714286,1.096556943846604,1.84560803233632,1.3118801581604154
50636942,1485406,16,11,14,2.4056390622295662,3.8073549220576055,3.0,22.0625,160.1875,5.75,1.1279771268044483,1.6592965490432827,1.2930156443208236
80803092,1485406,21,239,19,2.6464393446710157,4.247927513443588,3.321928094887362,20.666666666666668,131.61904761904762,6.333333333333333,1.1478369726195714,1.7566696566150024,1.3463434671359207
170956312,1485406,16,105,1,0.0,0.0,0.0,22.0625,154.3125,6.5625,1.2783295681937963,1.897256231671883,1.4805156443208238
10410650,1485406,21,406,18,1.584962500721156,4.169925001442313,1.584962500721156,18.61904761904762,130.23809523809524,10.380952380952381,1.4921868905203777,2.3294702854761247,1.8431510579585921
12767270,1485406,14,28,12,1.0,3.2516291673878226,1.0,22.285714285714285,189.78571428571428,6.142857142857143,1.2356785709337534,1.8853319186955606,1.4668748011205806
182880041,1485406,16,16,6,1.0,2.584962500721156,1.0,22.0625,159.875,6.25,1.2158295681937963,1.735696075376811,1.4180156443208238
52995502,1485406,10,122,5,1.584962500721156,2.321928094887362,1.584962500721156,19.6,241.4,15.7,1.6621387208576537,2.8290521873870214,2.075488750216347
188192175,1485406,16,2,10,2.321928094887362,3.321928094887362,2.321928094887362,22.0625,160.75,6.0,1.1332090622633362,1.689635725741423,1.3353951383903637
34283962,1485406,28,4,1,0.0,0.0,0.0,19.0,132.39285714285714,7.821428571428571,1.3404886089151162,2.1397822004250324,1.5839295859608986
86203962,1485406,14,127,2,1.0,1.0,1.0,22.285714285714285,182.71428571428572,6.857142857142857,1.2356785709337534,2.0461625735089766,1.4668748011205806
12121028,1485406,33,958,2,1.0,1.0,1.0,17.484848484848484,89.6969696969697,9.666666666666666,1.4175531416516933,2.277560560131177,1.7127258608590141
11589574,1485406,16,2,1,0.0,0.0,0.0,22.0625,160.75,6.5625,1.2783295681937963,1.897256231671883,1.4805156443208238
190943688,1485406,14,5,13,1.75,3.5465935642949384,3.0,22.285714285714285,191.42857142857142,6.071428571428571,1.1821071423623248,1.8642630332021954,1.3240176582634378
40041032,1485406,12,109,2,0.0,1.0,0.0,24.916666666666668,207.16666666666666,7.25,1.2115907201246856,1.8596016939928628,1.4740208590944315
142343242,1485406,19,62,6,1.9219280948873623,2.584962500721156,2.321928094887362,20.894736842105264,170.57894736842104,7.947368421052632,1.2315697803447427,2.0792720598281824,1.4800636692846991
52059082,1485406,16,66,4,2.0,2.0,2.0,22.0625,156.75,6.375,1.1533295681937963,1.772256231671883,1.3555156443208236
126818122,1485406,16,56,3,1.584962500721156,1.584962500721156,1.584962500721156,22.0625,157.375,6.4375,1.179269411898724,1.798196075376811,1.3814554880257515
37981262,1485406,10,1,7,2.0,2.5216406363433186,2.0,19.6,253.5,15.5,1.6206349709297694,2.809080933241426,2.0339850002884625
12656215,1485406,10,1,76,2.4089809567736475,6.080100046309862,5.0,19.6,253.5,8.6,1.5797368752524048,2.4532349922447714,1.7339850002884625
65860952,1485406,10,11,5,2.0,2.321928094887362,2.0,19.6,252.5,15.7,1.6206349709297694,2.8290521873870214,2.0339850002884625
162602842,1485406,18,35,5,1.0,2.321928094887362,1.0,20.22222222222222,176.27777777777777,11.277777777777779,1.4094235426166672,2.3004896726054005,1.7468409895164803
180050652,1485406,21,21,1,0.0,0.0,0.0,20.666666666666668,142.0,7.190476190476191,1.2738578937943816,1.9589519191599354,1.5045305192734142
8586206,1485406,16,3,23,2.8993974703476995,4.523561956057013,4.0,22.0625,160.6875,5.1875,1.097117226297065,1.6145336094183196,1.2305156443208236
146787422,1485406,16,147,1,0.0,0.0,0.0,22.0625,151.6875,6.5625,1.2783295681937963,1.897256231671883,1.4805156443208238
40433252,1485406,33,669,2,0.0,1.0,0.0,17.484848484848484,98.45454545454545,9.666666666666666,1.4478561719547236,2.277560560131177,1.7430288911620444
184643557,1485406,33,47,2,1.0,1.0,1.0,17.484848484848484,117.3030303030303,9.666666666666666,1.4175531416516933,2.277560560131177,1.7127258608590141
190066034,1485406,19,9,1,0.0,0.0,0.0,20.894736842105264,173.3684210526316,8.210526315789474,1.3327238906019725,2.2153227177608747,1.602270411120876
10185972,1485406,14,133,2,1.0,1.0,1.0,22.285714285714285,182.28571428571428,6.857142857142857,1.2356785709337534,2.0461625735089766,1.4668748011205806
7293943,1485406,28,96,13,2.5949066182439395,3.7004397181410926,3.459431618637298,19.0,129.10714285714286,7.392857142857143,1.2478133725492613,2.0076236390628504,1.4603784567238522
11677177,1485406,14,4,4,1.5,2.0,2.0,22.285714285714285,191.5,6.714285714285714,1.1999642852194676,1.9747340020804052,1.3954462296920092
10308218,1485406,18,214,32,3.375814583693912,4.875,4.584962500721156,20.22222222222222,166.33333333333334,9.777777777777779,1.2774338435225612,2.1586523445435875,1.5476764061430828
