member,group_id,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
40654402,3423412,4,3330,1,0.0,0.0,0.0,4.25,129.5,1.5,0.25,0.396240625180289,0.25
6361352,3423412,4,191,1,0.0,0.0,0.0,4.25,914.25,1.5,0.25,0.396240625180289,0.25
35150542,3423412,4,12,1,0.0,0.0,0.0,4.25,959.0,1.5,0.25,0.396240625180289,0.25
53328982,3423412,5,246,1,0.0,0.0,0.0,3.4,724.2,1.6,0.4,0.5169925001442313,0.4
3903162,3423412,4,69,3,1.0,1.584962500721156,1.0,4.25,944.75,1.0,0.0,0.0,0.0
56136122,3423412,1,19,2,1.0,1.0,1.0,5.0,246.0,1.0,0.0,0.0,0.0
