member,group_id,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
21726401,2512942,2,2,1,0.0,0.0,0.0,6.5,121.0,10.5,1.153445297804259,3.17932343849159,1.5
3579940,2512942,4,1,82,3.5761807551800406,6.186820297301015,5.447408651885229,5.5,61.5,30.0,1.1322705427787991,3.312503187645155,1.5804820237218404
11177354,2512942,5,2,9,0.7219280948873623,3.169925001442312,2.0,4.6,49.4,38.8,1.476666966281575,3.2533816092878647,1.9538673493545182
31201772,2512942,1,2,9,0.7219280948873623,2.94770277922009,2.0,8.0,240.0,12.0,1.584962500721156,3.188721875540867,1.0
40330572,2512942,4,1,2,0.0,1.0,0.0,5.5,61.5,50.0,2.0263157315738094,4.609208261970409,2.942334186693148
8818734,2512942,5,3,97,2.2221915755066783,5.891365873597439,3.321928094887362,4.6,49.2,22.2,1.3766142701577118,3.2260859350010707,1.689481730377046
25798702,2512942,8,240,12,1.584962500721156,3.188721875540867,1.0,3.0,1.75,26.625,1.0302785650576805,3.037802136078166,1.721167093346574
28391952,2512942,2,2,6,1.0,2.584962500721156,0.0,6.5,121.5,54.5,1.9035770381139172,4.540043874569153,2.160964047443681
37515862,2512942,1,1,7,0.0,2.5216406363433186,1.0,8.0,240.0,12.0,1.584962500721156,3.188721875540867,1.0
