member,group_id,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
10814496,1108797,13,4,7,1.5,2.8073549220576046,1.584962500721156,11.76923076923077,47.23076923076923,7.384615384615385,0.8295560649067577,1.5602083704961238,0.7939944688374894
2806371,1108797,15,218,1,0.0,0.0,0.0,10.733333333333333,28.133333333333333,7.4,0.9770119625495014,1.7931612440376548,0.9271260397072345
10200997,1108797,14,43,4,1.0,0.8112781244591328,0.0,11.142857142857142,42.357142857142854,7.571428571428571,0.9039413884458944,1.791867181150406,0.9933493282577512
11941224,1108797,11,34,3,0.0,1.584962500721156,0.0,12.636363636363637,51.27272727272727,6.909090909090909,0.9852374705599676,1.5625703200866858,0.8097173268735016
7039275,1108797,4,18,7,1.3709505944546687,2.8073549220576046,2.0,14.0,85.25,7.75,0.931370139249467,1.123783578558464,0.75
11742509,1108797,12,30,1,0.0,0.0,0.0,11.583333333333334,48.5,8.583333333333334,1.05459828652021,1.9081182217137347,1.158907549634043
4364429,1108797,11,41,25,3.0271691184406193,4.5638561897747225,3.321928094887362,12.363636363636363,50.45454545454545,4.909090909090909,0.7100402779744567,1.291761802899998,0.5077238637019232
7949072,1108797,14,37,1,0.0,0.0,0.0,11.285714285714286,41.785714285714285,7.428571428571429,0.9488734888419895,1.7207188384648011,0.8504921854006084
9696752,1108797,15,50,25,2.725480556997868,3.683856189774723,3.0,10.733333333333333,39.333333333333336,5.8,0.7953132587496435,1.5475708313860066,0.7271260397072346
11339890,1108797,8,12,1,0.0,0.0,0.0,13.125,56.125,7.875,0.8340121530782595,1.4524146191404967,0.9481203125901445
8621168,1108797,9,6,2,1.0,1.0,0.0,13.11111111111111,57.888888888888886,5.666666666666667,0.7567158953021137,1.4677088702111087,0.6205513889690173
11567056,1108797,10,18,4,0.0,2.0,0.0,12.8,55.0,7.4,1.0837612176159643,1.6773236021674702,0.8906890595608518
11930832,1108797,12,58,5,1.584962500721156,2.321928094887362,1.0,12.0,45.333333333333336,6.333333333333333,0.8543874729532073,1.4542756605656117,0.6589075496340432
9462997,1108797,6,4,2,1.0,1.0,0.0,13.5,77.16666666666667,9.666666666666666,1.222935362693274,1.761606745739468,1.2203213491478937
10718074,1108797,14,59,1,0.0,0.0,0.0,11.285714285714286,40.214285714285715,7.428571428571429,0.9488734888419895,1.7207188384648011,0.8504921854006084
3486495,1108797,8,8,23,1.4466166676282082,4.316827716832515,3.0,13.125,56.625,5.125,0.6531850696247334,0.9128111545364326,0.5731203125901445
