r1,r2,r3,r4,r5,r6,member,group_id
0.4735346466955202,0.8976894327949977,0.0,0.0,0.0,0.0,47587842,10195372
0.34386632096332936,0.7825674127944642,0.0,0.0,0.0,0.0,7355013,10195372
0.12845335860028026,0.4167109150067635,0.0,0.0,0.0,0.0,10245257,10195372
0.34386632096332936,0.7825674127944642,0.0,0.0,0.0,0.0,27347222,10195372
0.17139342978602123,0.5252599925244749,0.0,0.0,0.0,0.0,39809182,10195372
0.690212649546657,0.9622305334668222,0.0,0.4390364237300136,0.0,0.0,3296034,10195372
22.948451039336035,0.0063370896166268535,0.5744727861570997,0.09674370949564261,0.0,0.0,51524012,10195372
0.5178744990668009,0.6690245245613416,0.382871202053585,0.0,0.0,0.0,3014700,10195372
0.04337308732336474,0.0,0.0,0.0,0.0,0.0,139153712,10195372
0.43032952943332825,0.8631285230897321,0.35604200872486585,0.20120317484494268,0.0,0.0,6459313,10195372
0.17139342978602123,0.5252599925244749,0.0,0.0,0.0,0.0,4442673,10195372
0.3014461603761354,0.5509514841179035,0.6202710640759788,0.02085273393828097,0.0,0.0,47921212,10195372
0.17140877319775347,0.524852622082672,0.39179899193751444,0.013964632982350253,0.0,0.0,11293631,10195372
0.17140340148919606,0.525247375217161,0.002554076825152036,0.4684158192878333,0.0,0.0,51664582,10195372
0.08569671489301062,0.26262999626223743,0.0,0.0,0.0,0.0,94342222,10195372
0.4305418291834773,0.8099052543647489,0.0,0.45465123270080454,0.0,0.0,20698071,10195372
0.12845335860028026,0.4167109150067635,0.0,0.0,0.0,0.0,10882174,10195372
0.2575381616354396,0.6766796232728767,0.0,0.0,0.0,0.0,13620315,10195372
0.08569671489301062,0.26262999626223743,0.0,0.0,0.0,0.0,35562972,10195372
1.0371142557783586,0.9991670718004739,0.737706103324999,0.11645340223920492,0.0,0.0,35059422,10195372
0.04337308732336474,0.0,0.0,0.0,0.0,0.0,5187424,10195372
0.3438924225338569,0.7822280747822563,0.31794250024066145,0.3593575995254151,0.0,0.0,53138402,10195372
0.04337308732336474,0.0,0.0,0.0,0.0,0.0,137864932,10195372
0.2579211878944558,0.5867163233886081,0.6213158895572755,0.022726229879363447,0.0,0.0,57899622,10195372
1.166599925107664,1.161491755170367,0.9827977489364044,0.46947837680034094,0.0,0.0,80591722,10195372
0.4743599852928538,0.7018996774936447,0.8762484807964495,0.1988427855481321,0.0,0.0,11696751,10195372
0.1291729995278048,0.23807586683710646,0.0,0.0,0.0,0.0,81746172,10195372
0.08674617464672948,0.0,0.0,0.0,0.0,0.0,58709502,10195372
