member,group_id,r1,r2,r3,r4,r5,r6
12749286,1709983,1.688189655495287,0.21789427131150052,3.677537840730571,0.3427457055410729,0.010297043542281852,0.0
13507784,1709983,2.965564022740055,0.0,0.609344297700847,0.675085507490551,0.0,0.14687233345866663
6945353,1709983,1.0305719962701778,2.6564006633783968,0.0,2.3544794654274273,0.7057075546147952,1.2060724883947738
31096392,1709983,0.8990519081470352,3.0666230598231397,0.026079668231605686,2.922712031939339,0.26352740523545004,0.20422564121353617
8197483,1709983,1.8026205887871167,0.427796366025348,0.7899693145705612,2.7316178117492202,0.06595830633176171,0.48610776858126314
12022380,1709983,1.9496200830190162,0.3956487185736392,2.5727785291228114,0.46321305075458713,0.24728745484124495,0.0009756143325837269
15157641,1709983,2.920450801614664,0.8317638255391381,0.0,0.4898076598313528,0.3270588264895038,0.0
23251901,1709983,2.017083822501269,0.0,0.744132388037502,2.960846968500286,0.0,0.12299492685846988
6927184,1709983,2.0423937146036923,0.21300218878490143,0.8031200111943522,2.7840942016583425,0.0,0.0
413876,1709983,1.7326931297201513,0.004520707426590913,2.857646053901218,0.2695404533756446,0.7367295902335699,1.2446489828589304
4156341,1709983,2.952475863904719,1.2099658944263825,0.21396209749159364,0.0,0.6198593746012426,0.23783537460428583
18881591,1709983,3.2826668737556464,0.4655107013589367,0.0,0.0,0.2768065573341608,0.08214867086891658
126040,1709983,0.0,5.4799552124723645,0.002720753945424167,0.0,0.324179990720517,7.039925320448545
13207290,1709983,1.8034022755450232,0.0,1.9573479870540558,1.9141900998117425,0.0,0.26347215761326176
13024733,1709983,1.6554747656299078,0.0,4.065926057089882,0.06303736582127703,0.0,0.126642613079719
11600639,1709983,1.9090522036122026,0.6354532801213207,1.3498963523595784,2.0120165999611617,0.30690925372180755,0.0
